,mean_coef,std_coef,t_stat,p_value,significant_5pct
intercept,0.00012270018758947192,0.012407214705067596,0.9201946834449029,0.3574710321053016,否
TC_24,-0.00012413872965179873,0.015368996565801075,-0.7515719688712429,0.45230850568781866,否
PWMA_14,2.2190269796460427e-10,6.738843532197142e-08,0.3063980525380458,0.7593015909549989,否
CFO_14,-0.00010404797601094103,0.004965690956092821,-1.949677320852955,0.05121459108295756,否
