time,intercept,TC_24,PWMA_14,CFO_14
2024-09-18 11:00:00,-0.0012326492718870543,0.005967086832724427,5.145272153186734e-08,-0.002225549554807099
2024-09-18 12:00:00,-0.004924468685245646,-0.006892655970117688,-6.027769749114752e-08,0.004047590280850442
2024-09-18 13:00:00,0.0033098460573462948,-0.005052731961316496,-6.429541266726297e-08,-0.0007972023200954197
2024-09-18 14:00:00,-0.0052134736025495915,0.001163354678502266,7.116940885571744e-08,-0.0012166611199107592
2024-09-18 15:00:00,0.007076045967864117,0.00015887153294677104,2.291847823022572e-08,-0.005432769665694143
2024-09-18 16:00:00,0.0095007775377025,-0.0027478847081860414,-3.522046389514422e-08,-0.007086957692138448
2024-09-18 17:00:00,0.009731994114387979,0.01442904392368843,9.35291091444894e-08,-0.0059722333945703455
2024-09-18 18:00:00,0.0002724696116068962,-0.004514271010671289,-9.951548215848093e-08,-0.002681581215451287
2024-09-18 19:00:00,0.002229214497747188,0.003903899152577306,-2.684237402550143e-09,0.001525777012737453
2024-09-18 20:00:00,0.0023137821081343317,0.004086152471500682,-2.463326751716134e-08,-0.0033500769714622644
2024-09-18 21:00:00,0.0052232865739236835,0.0003247134889239443,4.908459589575806e-08,-0.001947529226099696
2024-09-18 22:00:00,0.008537471127233905,0.0174223709916071,1.9674818366304872e-07,-0.006528105219376311
2024-09-18 23:00:00,0.0006564705001446524,0.0297017082959398,2.029401132910988e-07,-0.003911501886502768
2024-09-19 00:00:00,-0.005728907724280123,-0.014078239958246499,-8.416511748627929e-08,0.0060115747664836894
2024-09-19 01:00:00,0.0037435080757117177,0.0005327001327415184,-3.933836738880993e-09,-0.0016646769701193329
2024-09-19 02:00:00,0.0024050020515147276,-0.0023221537950500683,-4.03960683043917e-08,0.007312642919117421
2024-09-19 03:00:00,0.005899729622239239,0.00025803882375862797,-5.676559313550059e-08,0.0041265383453723
2024-09-19 04:00:00,-0.0035510757624497543,0.00021071113528905102,-1.9420564229554985e-09,-0.002266562707429398
2024-09-19 05:00:00,0.0006590583471895244,0.005113268900147898,5.3907786660078734e-08,0.003172338933283139
2024-09-19 06:00:00,0.005098330172776263,0.00897443892078471,-2.193921029422467e-08,0.003103674404702579
2024-09-19 07:00:00,-0.0032705154171159996,-0.008138380451743064,3.733373081938095e-09,-0.0013046025625135182
2024-09-19 08:00:00,0.002865702783939036,0.0025964855302649617,4.560357287623515e-08,0.0004517503703232162
2024-09-19 09:00:00,-0.0012647266621657108,-0.004671464773365563,2.846164837770129e-08,-0.0013965476319060903
2024-09-19 10:00:00,0.003837793467206626,0.0006397444513798627,5.941693785001745e-09,-0.001856122916567336
2024-09-19 11:00:00,0.004573756539732621,-0.009724583459037619,2.483593962265881e-08,-0.0012328099818108217
2024-09-19 12:00:00,-0.0021465262324367293,0.006307958116765738,4.384467975549927e-08,-4.4737376092990405e-05
2024-09-19 13:00:00,7.051441569527251e-05,0.006116202411053003,-7.493706449646853e-08,0.003706909526546787
2024-09-19 14:00:00,0.0022863673994622494,0.006755100857408988,-2.625853677089247e-09,-0.0025243389599318242
2024-09-19 15:00:00,0.00942124060818041,0.011762133868297067,-7.963535984460697e-08,-0.004476315208678585
2024-09-19 16:00:00,0.0011072489102891838,0.003724872370399279,1.4856338639452832e-08,-0.0014307889324447372
2024-09-19 17:00:00,-0.0006022110083724995,-0.007342620808481939,2.0377135478381614e-08,1.9591025236821858e-05
2024-09-19 18:00:00,-0.004980930139257789,-0.0001348687586751816,-1.1572053491303923e-08,0.0009800135572261197
2024-09-19 19:00:00,0.002911707352025859,-0.0058601457201851006,-4.475763930776543e-08,0.0021091743790322194
2024-09-19 20:00:00,-0.005531584797866471,-0.012434096688825128,1.0185490945487583e-07,-0.0006969402374442795
2024-09-19 21:00:00,0.0012996424472104702,-0.0029000927725223702,-2.6204494034366548e-08,-0.0019561658317403694
2024-09-19 22:00:00,-0.005011697212058398,-0.007055743799477442,4.7055829996318854e-08,-0.005657583243801601
2024-09-19 23:00:00,-0.004819160222541195,-0.0047981655716430385,6.020204955090777e-08,0.0008459263924258482
2024-09-20 00:00:00,-0.0021883226075080343,0.00691182550429853,4.130268236319704e-08,-0.0029345555496998947
2024-09-20 01:00:00,0.004614501103030974,0.006617470976530474,-9.622125481774687e-08,0.0021637180058461905
2024-09-20 02:00:00,0.014476664186230663,0.005220232522479635,-7.066812303483126e-08,-0.006587525559537106
2024-09-20 03:00:00,0.0015641847967970083,0.0005440338431949409,-9.415784393089619e-08,0.005579294954401066
2024-09-20 04:00:00,-0.000942586626047118,-0.004296500805734994,2.7035475140967097e-08,0.0004080805395421885
2024-09-20 05:00:00,-0.0031914998326298943,-0.0017430587716139024,-2.9717019504875527e-08,0.008531848005778175
2024-09-20 06:00:00,-0.0009890953678181552,0.0032478719390711384,-6.653862562786206e-08,-0.00024300386696300854
2024-09-20 07:00:00,-0.0029183053977133895,-0.0033596140555707207,1.0927711194831783e-08,0.0005596067575438282
2024-09-20 08:00:00,0.00045883172596498695,-0.00630044433497095,7.056059233682057e-08,-0.0008438728910741082
2024-09-20 09:00:00,-0.0013074725109931498,-0.004207482928490152,5.9299888222099734e-08,-0.004953737627103356
2024-09-20 10:00:00,-0.005157803924555324,-0.005735757496350044,7.728188841649462e-08,0.0010567333562514565
2024-09-20 11:00:00,0.0016764328636470756,-0.014829330622825548,7.130129858974744e-08,-0.0012055388251281183
2024-09-20 12:00:00,-0.006133888973603408,0.021042200933127992,-1.6496737892336628e-07,0.006366454710490822
2024-09-20 13:00:00,-7.786304137935183e-06,0.009691565881121203,-3.022363860350621e-08,-0.00039350355073792425
2024-09-20 14:00:00,5.9751785087576795e-05,0.012240159112653167,-6.690956629806262e-08,-4.083067176741942e-06
2024-09-20 15:00:00,-0.006452104384065299,-0.0012682322984600932,4.4758681670942095e-08,-0.002370682300605358
2024-09-20 16:00:00,0.002680844682318621,-0.020368534670308355,8.647491186968467e-08,0.007678875248095516
2024-09-20 17:00:00,0.0029035179987291224,0.00019930902054271298,-5.118353752654053e-09,0.0009828982644600234
2024-09-20 18:00:00,0.002373240209769893,-0.007381866322143237,7.556518232868806e-09,0.00033895451871273225
2024-09-20 19:00:00,0.0022995469033762787,-0.000970787311080656,-1.3925048799800598e-08,-0.003084845343152658
2024-09-20 20:00:00,0.0036109257695340364,-0.0007272062215965206,2.973140734248563e-08,-0.0008586343195522189
2024-09-20 21:00:00,-0.0006425507832319081,0.006917949393719778,-4.3334643506453347e-08,0.0006325975215280103
2024-09-20 22:00:00,0.0016386914009286309,0.00860170894503032,-5.7005569989990634e-08,-0.0034647240442556592
2024-09-20 23:00:00,-0.004364084403147401,0.015516210113030572,-1.2354738767017587e-07,0.0054346441119100045
2024-09-21 00:00:00,-0.0052686113322089785,-0.0032184981781214978,4.875161980183953e-08,-0.004734639244025107
2024-09-21 01:00:00,0.0021851027667038818,-0.005688205147107923,2.949401974793112e-08,-0.0016319963972168657
