timestamp,open_price,high_price,low_price,close_price,volume_from,volume_to
2024-09-14 12:00:00,136.85,137.35,136.63,137.1,11480.19,1573552.24
2024-09-14 13:00:00,137.1,137.24,136.71,137.18,16820.32,2303874.49
2024-09-14 14:00:00,137.18,138.17,136.94,137.95,26789.77,3691262.12
2024-09-14 15:00:00,137.95,137.96,137.16,137.42,16548.39,2276698.16
2024-09-14 16:00:00,137.42,137.91,137.27,137.45,19087.41,2625651.24
2024-09-14 17:00:00,137.45,137.45,136.93,136.99,11998.36,1644794.83
2024-09-14 18:00:00,136.99,137.16,135.7,136.96,62432.87,8516218.54
2024-09-14 19:00:00,136.96,136.99,136.52,136.64,21821.86,2982071.66
2024-09-14 20:00:00,136.64,137.29,136.63,137.04,10520.62,1440762.5
2024-09-14 21:00:00,137.04,137.31,136.94,137.03,8801.48,1207028.31
2024-09-14 22:00:00,137.03,137.34,136.85,137.2,10419.98,1428567.18
2024-09-14 23:00:00,137.2,137.37,137.01,137.17,6551.87,898888.92
2024-09-15 00:00:00,137.17,137.78,137.13,137.5,12271.67,1685991.53
2024-09-15 01:00:00,137.5,137.91,137.28,137.9,17456.62,2403688.59
2024-09-15 02:00:00,137.9,137.96,137.45,137.79,12622.53,1738471.2
2024-09-15 03:00:00,137.79,137.86,137.47,137.51,7248.13,997916.13
2024-09-15 04:00:00,137.51,137.56,137.03,137.05,16301.79,2238703.21
2024-09-15 05:00:00,137.05,137.35,136.88,137.14,5793.9,794282.29
2024-09-15 06:00:00,137.14,137.47,137.14,137.42,4174.4,573441.96
2024-09-15 07:00:00,137.42,137.43,136.96,137.16,7340.18,1006399.08
2024-09-15 08:00:00,137.16,137.17,136.67,136.78,8839.71,1209600.6
2024-09-15 09:00:00,136.78,136.87,136.41,136.47,26611.38,3636540.07
2024-09-15 10:00:00,136.47,136.52,135.93,135.97,41159.22,5602719.7
2024-09-15 11:00:00,135.97,135.97,135.24,135.6,45143.17,6119706.65
2024-09-15 12:00:00,135.6,135.92,135.16,135.92,33580.32,4551616.91
2024-09-15 13:00:00,135.92,136.35,135.56,135.74,37680.81,5122966.4
2024-09-15 14:00:00,135.74,136.01,134.73,135.77,39372.96,5323895.76
2024-09-15 15:00:00,135.77,135.96,135.39,135.8,16622.11,2255785.59
2024-09-15 16:00:00,135.8,135.84,133.82,133.9,45422.62,6116274.56
2024-09-15 17:00:00,133.9,134.18,133.02,133.41,50755.97,6773128.81
2024-09-15 18:00:00,133.41,134.37,133.3,133.69,97407.69,13027740.95
2024-09-15 19:00:00,133.69,134.18,133.46,133.49,41978.82,5618857.09
2024-09-15 20:00:00,133.49,133.51,132.88,133.23,25200.82,3356711.41
2024-09-15 21:00:00,133.23,133.23,131.55,132.1,86835.15,11471638.51
2024-09-15 22:00:00,132.1,132.14,131.22,131.89,38942.6,5127484.23
2024-09-15 23:00:00,131.89,132.3,130.53,131.42,64363.19,8460915.14
2024-09-16 00:00:00,131.42,131.81,130.96,131.04,30729.03,4035895.24
2024-09-16 01:00:00,131.04,131.06,129.83,130.21,48848.41,6364523.31
2024-09-16 02:00:00,130.21,130.47,129.33,129.63,37958.31,4932250.82
2024-09-16 03:00:00,129.63,130.66,129.59,130.62,18960.36,2469486.27
2024-09-16 04:00:00,130.62,130.95,130.57,130.63,25275.59,3306269.68
2024-09-16 05:00:00,130.63,131.33,130.59,131.3,23643.93,3098504.76
2024-09-16 06:00:00,131.3,131.39,130.44,130.6,14516.69,1900566.29
2024-09-16 07:00:00,130.6,131.34,130.51,131.25,18795.01,2458486.3
2024-09-16 08:00:00,131.25,132.33,131.1,131.69,25760.78,3396597.61
2024-09-16 09:00:00,131.69,132.24,130.88,130.89,40488.21,5321072.13
2024-09-16 10:00:00,130.89,132.21,130.71,131.97,24090.92,3161144.05
2024-09-16 11:00:00,131.97,132.15,131.75,131.89,12362.16,1631310.65
2024-09-16 12:00:00,131.89,132.29,131.51,131.73,17347.54,2287900.14
2024-09-16 13:00:00,131.73,132.17,131.16,132.16,30078.59,3959901.57
2024-09-16 14:00:00,132.16,132.29,130.01,130.38,47527.39,6211464.3
2024-09-16 15:00:00,130.38,131.9,130.32,131.47,43936.28,5768181.88
2024-09-16 16:00:00,131.47,131.71,130.46,130.53,36516.72,4779860.71
2024-09-16 17:00:00,130.53,131.74,128.91,131.45,181667.33,23586055.24
2024-09-16 18:00:00,131.45,131.54,129.99,130.48,36645.66,4787460.16
2024-09-16 19:00:00,130.48,131.28,130.23,131.09,33483.94,4381168.02
2024-09-16 20:00:00,131.09,131.55,130.07,130.1,45435.05,5937796.1
2024-09-16 21:00:00,130.1,131.47,129.97,131.43,39397.34,5157624.81
2024-09-16 22:00:00,131.43,131.47,130.45,130.69,14723.63,1927200.41
2024-09-16 23:00:00,130.69,131.87,130.69,131.45,23829.03,3131361.95
2024-09-17 00:00:00,131.45,131.95,130.71,130.71,25893.99,3401039.53
2024-09-17 01:00:00,130.71,131.17,130.34,130.56,18072.9,2363078.1
2024-09-17 02:00:00,130.56,131.48,130.48,130.79,38472.49,5033051.86
2024-09-17 03:00:00,130.79,131.43,130.73,131.14,21479.68,2818519.42
2024-09-17 04:00:00,131.14,131.47,130.77,131.29,10111.56,1326030.38
2024-09-17 05:00:00,131.29,132.83,131.29,132.59,15725.36,2078133.01
2024-09-17 06:00:00,132.59,132.68,131.95,132.0,13057.05,1727037.71
2024-09-17 07:00:00,132.0,132.39,131.91,132.26,16400.18,2167765.99
2024-09-17 08:00:00,132.26,132.77,132.26,132.47,12383.73,1641958.52
2024-09-17 09:00:00,132.47,132.79,131.78,132.48,26163.71,3459110.11
2024-09-17 10:00:00,132.48,133.35,132.25,132.72,53018.81,7040414.02
2024-09-17 11:00:00,132.72,133.07,131.83,131.97,56579.9,7485684.73
2024-09-17 12:00:00,131.97,132.49,131.48,132.41,28462.53,3752941.05
2024-09-17 13:00:00,132.41,132.62,130.97,131.16,48572.98,6398779.56
2024-09-17 14:00:00,131.16,134.84,131.03,133.51,153329.36,20489967.37
2024-09-17 15:00:00,133.51,135.52,133.51,134.62,136837.54,18439519.69
2024-09-17 16:00:00,134.62,134.92,132.06,132.44,99213.05,13218521.18
2024-09-17 17:00:00,132.44,133.66,132.24,133.15,46897.93,6235626.08
2024-09-17 18:00:00,133.15,133.48,132.07,132.48,35294.39,4682963.52
2024-09-17 19:00:00,132.48,132.8,131.14,132.23,54115.3,7142917.98
2024-09-17 20:00:00,132.23,132.63,131.82,132.02,50289.55,6648580.39
2024-09-17 21:00:00,132.02,132.69,131.99,132.5,21677.64,2871077.65
2024-09-17 22:00:00,132.5,132.5,131.73,131.78,14273.4,1884210.98
2024-09-17 23:00:00,131.78,131.78,131.2,131.56,17357.76,2280748.6
2024-09-18 00:00:00,131.56,131.62,130.27,131.34,47666.91,6244479.9
2024-09-18 01:00:00,131.34,131.61,130.73,130.94,16743.75,2195623.04
2024-09-18 02:00:00,130.94,131.68,130.81,131.68,10557.21,1385973.75
2024-09-18 03:00:00,131.68,132.13,131.67,131.7,33029.74,4359024.67
2024-09-18 04:00:00,131.7,131.84,130.66,131.1,15564.99,2042255.27
2024-09-18 05:00:00,131.1,131.15,130.65,130.98,13935.87,1824522.49
2024-09-18 06:00:00,130.98,131.31,130.79,131.23,14103.32,1847361.15
2024-09-18 07:00:00,131.23,131.51,131.14,131.36,9922.29,1303361.92
2024-09-18 08:00:00,131.36,131.36,130.65,130.79,15617.94,2045084.19
2024-09-18 09:00:00,130.79,130.81,129.23,129.24,41959.35,5464818.33
2024-09-18 10:00:00,129.24,129.55,128.14,129.43,55654.6,7175055.59
2024-09-18 11:00:00,129.43,129.83,129.18,129.42,16184.06,2096105.58
2024-09-18 12:00:00,129.42,130.08,128.84,129.99,25690.56,3326209.1
