timestamp,open_price,high_price,low_price,close_price,volume_from,volume_to
2024-09-14 12:00:00,551.48,552.85,552.01,552.01,279.34,154198.48
2024-09-14 13:00:00,552.01,552.61,551.6,552.49,323.63,178803.39
2024-09-14 14:00:00,552.49,553.88,552.08,552.74,730.66,403863.08
2024-09-14 15:00:00,552.74,552.37,551.05,551.17,289.72,159684.7
2024-09-14 16:00:00,551.17,553.3,551.98,553.24,357.93,198019.41
2024-09-14 17:00:00,553.24,552.53,551.51,551.81,506.76,279634.35
2024-09-14 18:00:00,551.81,552.23,549.48,551.21,1795.05,989453.09
2024-09-14 19:00:00,551.21,551.56,550.78,551.2,325.59,179465.68
2024-09-14 20:00:00,551.2,553.78,552.16,552.82,643.79,355896.99
2024-09-14 21:00:00,552.82,553.65,551.54,551.96,782.48,431901.35
2024-09-14 22:00:00,551.96,552.87,551.79,552.75,286.6,158417.11
2024-09-14 23:00:00,552.75,553.98,552.48,553.56,1668.74,923751.57
2024-09-15 00:00:00,553.56,554.66,553.64,554.3,305.04,169082.84
2024-09-15 01:00:00,554.3,557.01,555.51,555.69,487.63,270970.38
2024-09-15 02:00:00,555.69,556.11,555.33,555.87,420.79,233905.58
2024-09-15 03:00:00,555.87,555.21,552.92,553.16,333.51,184485.51
2024-09-15 04:00:00,553.16,553.29,552.51,553.29,287.31,158965.55
2024-09-15 05:00:00,553.29,554.61,553.52,554.37,410.63,227638.97
2024-09-15 06:00:00,554.37,554.91,553.94,554.12,405.96,224952.03
2024-09-15 07:00:00,554.12,555.08,554.12,555.02,353.19,196027.49
2024-09-15 08:00:00,555.02,554.03,553.13,554.03,322.27,178547.21
2024-09-15 09:00:00,554.03,554.6,553.28,554.18,469.96,260444.19
2024-09-15 10:00:00,554.18,555.21,553.95,554.49,605.08,335510.47
2024-09-15 11:00:00,554.49,555.16,554.08,554.8,763.4,423531.98
2024-09-15 12:00:00,554.8,557.96,555.62,557.24,1093.9,609566.3
2024-09-15 13:00:00,557.24,561.0,557.93,559.56,1585.13,886973.32
2024-09-15 14:00:00,559.56,561.07,558.24,559.99,1593.71,892461.15
2024-09-15 15:00:00,559.99,561.89,559.54,561.41,784.03,440161.13
2024-09-15 16:00:00,561.41,559.28,557.36,558.38,1333.84,744793.45
2024-09-15 17:00:00,558.38,558.76,554.04,556.61,2545.21,1416687.7
2024-09-15 18:00:00,556.61,559.15,556.63,557.59,1359.51,758055.43
2024-09-15 19:00:00,557.59,557.41,555.97,556.93,377.41,210192.12
2024-09-15 20:00:00,557.14,560.22,554.78,559.98,1287.92,721208.77
2024-09-15 21:00:00,560.21,560.06,556.84,559.29,1130.13,632068.67
2024-09-15 22:00:00,559.29,560.78,556.86,560.54,1306.89,732565.81
2024-09-15 23:00:00,560.54,559.34,552.18,553.48,3834.43,2122295.14
2024-09-16 00:00:00,553.48,551.5,547.86,549.86,2111.52,1161031.92
2024-09-16 01:00:00,549.86,550.64,545.54,545.95,1767.73,965094.35
2024-09-16 02:00:00,545.95,544.7,541.91,542.08,2005.89,1087356.11
2024-09-16 03:00:00,542.08,546.59,543.6,545.18,2489.95,1357482.03
2024-09-16 04:00:00,545.18,545.6,542.74,545.19,709.29,386697.43
2024-09-16 05:00:00,545.19,548.33,547.21,547.33,777.82,425723.63
2024-09-16 06:00:00,547.33,548.69,546.51,546.63,1073.91,587033.33
2024-09-16 07:00:00,546.63,550.79,548.19,550.43,1785.67,982891.17
2024-09-16 08:00:00,550.43,552.15,548.91,549.15,898.91,493634.64
