timestamp,open_price,high_price,low_price,close_price,volume_from,volume_to
2024-09-14 12:00:00,2418.22,2424.64,2415.49,2421.48,3189.49,7722616.05
2024-09-14 13:00:00,2421.48,2422.16,2413.24,2417.99,3857.33,9324615.95
2024-09-14 14:00:00,2417.99,2424.49,2415.86,2420.96,3928.52,9511396.57
2024-09-14 15:00:00,2420.96,2423.63,2416.2,2419.54,3586.5,8679190.03
2024-09-14 16:00:00,2419.54,2422.19,2416.15,2419.1,12212.66,29538442.38
2024-09-14 17:00:00,2419.1,2419.1,2412.93,2415.3,10698.31,25842177.93
2024-09-14 18:00:00,2415.3,2415.31,2380.27,2408.11,45286.21,108768341.56
2024-09-14 19:00:00,2408.11,2412.77,2404.75,2409.6,12620.83,30401641.59
2024-09-14 20:00:00,2409.6,2422.67,2407.85,2416.77,18716.09,45175523.34
2024-09-14 21:00:00,2416.77,2419.79,2413.75,2417.57,8308.14,20078416.57
2024-09-14 22:00:00,2417.57,2420.07,2412.87,2417.79,14072.88,34012761.31
2024-09-14 23:00:00,2417.79,2419.9,2415.6,2418.52,6692.97,16181458.52
2024-09-15 00:00:00,2418.52,2423.72,2417.33,2420.44,7540.64,18258781.39
2024-09-15 01:00:00,2420.44,2430.97,2420.44,2426.1,14136.82,34295341.06
2024-09-15 02:00:00,2426.1,2428.5,2420.55,2426.63,5082.14,12318252.43
2024-09-15 03:00:00,2426.63,2426.93,2420.4,2421.2,1885.71,4570904.74
2024-09-15 04:00:00,2421.2,2422.87,2415.0,2417.54,2046.95,4950306.95
2024-09-15 05:00:00,2417.54,2421.89,2417.54,2419.71,1454.57,3520024.76
2024-09-15 06:00:00,2419.71,2422.21,2419.37,2421.57,1783.08,4316068.58
2024-09-15 07:00:00,2421.57,2424.97,2420.42,2423.33,2616.88,6340621.24
2024-09-15 08:00:00,2423.33,2423.64,2414.0,2415.87,2574.03,6224221.53
2024-09-15 09:00:00,2415.87,2416.62,2411.25,2413.51,1806.23,4360116.04
2024-09-15 10:00:00,2413.51,2414.82,2404.41,2410.1,3046.86,7342510.64
2024-09-15 11:00:00,2410.1,2410.1,2402.84,2407.45,2294.92,5521795.41
2024-09-15 12:00:00,2407.45,2413.11,2405.79,2411.36,1856.47,4472959.14
2024-09-15 13:00:00,2411.36,2419.14,2408.5,2410.95,5399.63,13033535.21
2024-09-15 14:00:00,2410.95,2413.49,2397.13,2412.1,5950.48,14307002.81
2024-09-15 15:00:00,2412.1,2415.64,2406.99,2409.52,3954.4,9530395.69
2024-09-15 16:00:00,2409.52,2409.9,2387.82,2388.69,26120.58,62612744.58
2024-09-15 17:00:00,2388.69,2392.94,2376.45,2384.05,37462.72,89281918.61
2024-09-15 18:00:00,2384.05,2389.27,2363.21,2381.02,41986.93,99806168.38
2024-09-15 19:00:00,2381.02,2388.21,2371.37,2372.82,26655.59,63411876.64
2024-09-15 20:00:00,2372.82,2372.83,2356.29,2363.78,36655.66,86667490.69
2024-09-15 21:00:00,2363.78,2364.11,2336.94,2353.53,40812.49,95711102.27
2024-09-15 22:00:00,2353.53,2353.7,2342.04,2346.76,31766.73,74566566.53
2024-09-15 23:00:00,2346.76,2346.76,2284.83,2316.46,92440.93,214246961.43
2024-09-16 00:00:00,2316.46,2322.73,2292.75,2300.23,66898.39,154372085.95
