iter	Passed	Remaining
445	1174	1459
446	1177	1456
447	1179	1452
448	1181	1449
449	1183	1446
450	1185	1443
451	1187	1439
452	1189	1436
453	1191	1433
454	1194	1430
455	1196	1427
456	1199	1424
457	1201	1421
458	1203	1418
459	1205	1415
460	1207	1412
461	1209	1408
462	1212	1405
463	1214	1402
464	1216	1399
465	1218	1396
466	1220	1393
467	1223	1390
468	1225	1387
469	1227	1383
470	1229	1380
471	1231	1377
472	1233	1374
473	1236	1371
474	1238	1368
475	1240	1365
476	1242	1362
477	1245	1359
478	1248	1357
479	1250	1355
480	1253	1352
481	1256	1350
482	1258	1347
483	1261	1344
484	1265	1343
485	1267	1340
486	1270	1337
487	1272	1335
488	1275	1332
489	1277	1329
490	1280	1326
491	1282	1323
492	1284	1320
493	1286	1317
494	1288	1314
495	1290	1311
496	1292	1308
497	1295	1305
498	1297	1302
499	1299	1299
500	1301	1296
501	1304	1294
502	1306	1291
503	1309	1288
504	1311	1285
505	1313	1281
506	1315	1278
507	1317	1276
508	1319	1273
509	1322	1270
510	1324	1267
511	1327	1264
512	1329	1262
513	1331	1259
514	1334	1256
515	1336	1253
516	1338	1250
517	1339	1246
518	1341	1243
519	1343	1240
520	1345	1237
521	1348	1235
522	1350	1231
523	1352	1228
524	1354	1225
525	1356	1222
526	1358	1219
527	1360	1215
528	1362	1213
529	1365	1210
530	1367	1207
531	1369	1205
532	1372	1202
533	1374	1199
534	1376	1196
535	1379	1194
536	1381	1191
537	1383	1188
538	1386	1185
539	1388	1182
540	1390	1180
541	1393	1177
542	1395	1174
543	1397	1171
544	1400	1168
545	1402	1166
546	1404	1163
547	1407	1160
548	1409	1157
549	1411	1155
550	1414	1152
551	1417	1150
552	1419	1147
553	1421	1144
554	1424	1142
555	1427	1139
556	1429	1136
557	1432	1134
558	1434	1131
559	1436	1129
560	1439	1126
561	1441	1123
562	1444	1121
563	1446	1118
564	1448	1115
565	1451	1112
566	1453	1110
567	1455	1107
568	1458	1104
569	1460	1102
570	1463	1099
571	1465	1096
572	1468	1094
573	1470	1091
574	1473	1088
575	1475	1086
576	1477	1083
577	1480	1080
578	1482	1078
579	1485	1075
580	1488	1073
581	1490	1070
582	1492	1067
583	1495	1065
584	1497	1062
585	1499	1059
586	1502	1057
587	1505	1054
588	1508	1052
589	1510	1049
590	1512	1046
591	1514	1043
592	1516	1041
593	1518	1038
594	1520	1035
595	1522	1032
596	1524	1029
597	1526	1026
598	1528	1023
599	1530	1020
600	1532	1017
601	1534	1014
602	1536	1011
603	1538	1008
604	1540	1005
605	1542	1002
606	1544	999
607	1546	997
608	1549	994
609	1551	992
610	1554	989
611	1556	986
612	1558	983
613	1560	980
614	1562	977
615	1564	975
616	1566	972
617	1568	969
618	1570	966
619	1571	963
620	1573	960
621	1575	957
622	1577	954
623	1579	951
624	1581	948
625	1583	945
626	1585	943
627	1587	940
628	1589	937
629	1591	934
630	1594	932
631	1596	929
632	1598	926
633	1600	923
634	1602	920
635	1604	918
636	1606	915
637	1609	913
638	1611	910
639	1613	907
640	1615	904
641	1617	901
642	1619	899
643	1621	896
644	1623	893
645	1626	891
646	1628	888
647	1630	885
648	1632	882
649	1634	879
650	1636	877
651	1638	874
652	1640	871
653	1642	868
654	1644	866
655	1646	863
656	1648	860
657	1650	857
658	1652	854
659	1654	852
660	1656	849
661	1658	846
662	1660	844
663	1662	841
664	1664	838
665	1666	835
666	1668	833
667	1670	830
668	1672	827
669	1674	824
670	1676	822
671	1678	819
672	1680	816
673	1682	814
674	1684	811
675	1687	808
676	1689	805
677	1690	803
678	1692	800
679	1694	797
680	1696	794
681	1698	792
682	1700	789
683	1702	786
684	1704	783
685	1706	781
686	1708	778
687	1710	775
688	1712	772
689	1714	770
690	1716	767
691	1718	764
692	1720	762
693	1722	759
694	1724	756
695	1726	753
696	1728	751
697	1731	749
698	1733	746
699	1735	743
700	1738	741
701	1740	738
702	1742	736
703	1745	733
704	1747	731
705	1749	728
706	1751	725
707	1753	723
