date,open,close,high,low
20200102,12.47,12.47,12.64,12.45
20200103,12.57,12.6,12.63,12.47
20200106,12.52,12.46,12.65,12.42
20200107,12.51,12.5,12.6,12.46
20200108,12.41,12.32,12.45,12.25
